,muon_pt0,muon_pt1,muon_pt2,muon_pt3,muon_phi0,muon_phi1,muon_phi2,muon_phi3
0,45.25287,31.458616,29.250036,,2.3872998,-2.1910088,-2.8527129,
1,78.91012,54.357124,51.410744,47.867046,-2.7548864,-2.064899,-1.957962,-1.4828392
2,102.221535,62.293118,62.01503,,1.3136289,0.97402084,1.2674308,
3,62.203316,37.894497,36.007137,,-2.3117585,-3.1213536,2.230499,
4,96.9706,43.36256,42.42011,23.046053,-1.5247985,-1.1372234,-1.3372545,0.050066378
5,146.78609,55.395863,33.978516,30.571487,-1.532569,-0.4899969,-0.76195765,-1.1858693
6,133.65073,56.260902,51.99345,29.246851,1.5914997,1.8142289,1.1004789,2.5055711
7,38.43676,,,,-1.7035768,,,
8,56.075607,52.72703,36.171978,34.91645,-2.8274589,2.3364367,-2.8815453,-1.823418
9,68.82941,65.13103,42.937523,32.77342,0.07567633,-0.13609898,0.54677045,0.7383424
10,183.93692,98.13607,73.25422,41.58277,2.742411,2.902203,3.130013,2.3943508
11,113.63341,48.46404,37.42419,,3.054715,-2.355433,-2.6597939,
12,34.781258,,,,-1.7167237,,,
13,55.247562,52.096695,42.061,,1.1786097,1.1072683,0.8580984,
14,48.891792,43.002968,30.004568,,-1.2122194,-2.38493,-2.2875223,
15,76.0899,50.94411,48.131203,33.54732,-2.329329,-0.8188569,-1.8793805,-1.804223
16,66.474144,43.78128,37.669052,34.115494,-2.4692767,-2.9932127,-2.137188,-0.9163131
17,81.56666,58.729046,,,0.58199745,1.666371,,
18,60.147457,30.911764,26.577444,,-2.321014,-0.38762558,-2.5865538,
19,72.369514,61.408237,41.09637,,-0.6145988,-1.1821622,-0.53967625,
20,73.35399,43.05718,42.129055,38.8387,0.1523296,-0.22118308,-0.7762054,-1.079194
21,76.22,53.429768,45.2072,31.186378,-1.704245,-2.0908792,-1.1724885,2.9140766
22,92.05669,77.41352,,,1.957517,1.0432383,,
23,109.64057,47.217464,40.91007,35.88954,-0.9109142,-1.7738867,-1.5720797,-0.5874845
24,62.770504,39.89035,39.025288,35.857796,1.9539006,2.629711,-2.697107,1.897792
25,49.51153,46.366474,44.906693,,-0.4986643,0.25890547,1.5822442,
26,99.056984,87.908226,52.677635,45.8044,2.8960774,-2.4516535,-2.6969934,-3.1096609
27,54.003105,47.334557,37.44986,36.32161,-2.4334939,-2.958711,-2.7804725,-3.1149926
28,52.169052,34.829777,33.457073,30.233158,2.2354975,1.833838,-3.084415,2.287038
29,69.41,58.689194,32.829357,31.310774,-2.6148493,2.4618928,2.6272461,3.1038127
30,55.985256,37.345245,30.820734,,-2.354305,-1.8889078,-1.0724046,
31,65.871445,59.202957,41.528244,35.118286,1.8221452,1.3671266,0.9910244,1.758653
32,102.26238,50.334908,41.93448,34.058155,2.56839,1.904445,2.8563025,1.6651483
33,74.64069,39.543556,,,-1.2835772,-2.2285461,,
34,68.81883,45.283188,44.7157,35.71071,1.0376024,-0.12252466,0.8331585,-0.028735982
35,58.680367,33.73202,,,-1.2374641,-2.211834,,
36,66.39307,59.835155,36.86108,34.217026,1.479331,2.1097763,1.6943349,0.7181452
37,208.22855,80.96317,50.321373,43.62171,2.1023169,2.4328332,2.6164322,1.6023049
38,94.93473,57.944633,48.5524,30.092344,-2.604949,-2.9735816,-2.7510662,2.9433033
39,93.011986,64.490204,61.9351,55.271008,2.4667673,1.3912297,1.6935351,2.2584064
40,48.46076,39.017754,37.340786,30.68793,-0.2782406,-1.1218691,-0.19144386,-2.1619565
41,104.419556,80.510475,49.03743,,-2.1510608,-1.463513,-1.8647462,
42,61.97557,53.883945,50.18256,38.885067,-1.0500795,-1.3783721,-1.0263398,-1.6543543
43,,,,,,,,
44,102.65024,71.33598,33.048714,,-0.8478937,-0.3202358,-1.3497475,
45,63.945522,60.7087,33.082058,31.304188,2.3013868,2.0570593,2.5782926,-2.425244
